Название,КОПУК,Адрес,"Число предметов основного фонда на конец года, единиц","Число предметов научно-вспомогательного фонда на конец года, единиц","Число музейных предметов, внесенных в электронный каталог музея, единиц","Число выставок – всего, единиц (сумма гр.5,6,7)","Число посещений – всего, тыс.чел. (сумма гр.4,7)","Численность работников - всего, человек","Число строений - всего, единиц"
Омский музей театрального искусства,125653,"644010 г.Омск, ул.Ленина, 45",7590,1384,1738,40,55,5,1
"Краеведческий музей ""Поморье"" Кемского муниципального района",126016,"186615 Респ.Карелия, г.Кемь, ул.Вицупа, 12а",7620,2726,0,17,7.9,9,1
Пышмин.музей истории землед.и крест.быта,136874,"623550 Свердловская обл., п.Пышма, ул.Кирова, 34",0,0,0,39,6.4,6,2
Козельский краеведческий музей,115702,"249722 Калужская обл., г.Козельск, ул.Б.Советская, 75",4782,3268,81,3,4.4,4,1
Красногорский краеведческий музей,132445,"659500 Алтайский край, Красногорский р-н, с.Красногорское, ул.Советская, 82",3370,1396,0,9,2.1,2,1
"Музейно-выст.объединение ""Манеж""",118448,"125009 г.Москва, Георгиевский пер., 3/3",2107,1721,3702,51,509.9,216,9
Гос.музей изоиск-в Респ.Татарстан,127150,"420015 г.Казань, ул.Карла Маркса, 64",25986,1758,21348,107,151.3,171,9
Мосальская картинная галерея,142907,"249930 Калужская обл., г.Мосальск, ул.Советская, 14",0,0,0,27,3,2,1
Дульдургинский краеведческий музей,142042,"687200 Забайкальский край, Дульдургинский район, с.Дульдурга, ул.Комсомольская, 36а",361,1004,310,16,4.2,2,1
Миньярский историко-краеведческий музей,129573,"456007 Челябинская обл., г.Миньяр, ул.Горького, 95",7565,5682,0,7,3.7,6,0
"Литер.-мем.музей А.Толстого,Красный Рог",113162,"243447 Брянская обл., Почепский р-н, с.Красный Рог",0,0,0,6,23,17,11
Шербакульский ист.-краеведческий музей,132290,"646700 Омская обл., п.Шербакуль, ул.Гуртьева, 1",2013,108,1665,39,9.2,4,2
Мем.-худож.музей В.А.Серова п.Эммаус,115581,"171530 Тверская обл., Калининский р-н, п.Эммаус, 29",0,0,0,10,5.3,9,1
Усть-Вымское музейное объединение,126110,"169040 Респ.Коми, Усть-Вымский р-н, с.Уст-Вымь",69265,6629,2532,93,16.4,14,9
Дом-музей Германа Брахерта,115219,"238561 Калининградская обл., г.Светлогорск, ул.Токарева, 7",755,477,755,21,3.3,10,1
Баяндаевский этнографический музей,140494,"669120 Иркутская обл., с.Баяндай, ул.Бутунаева, 2",273,240,0,8,0.9,3,3
Добрянский историко-краеведческий музей,121205,"618740 Пермский край, г.Добрянка, ул.Советская, 9",14917,18697,10598,47,12,19,2
Гос.мем.ист-худ.муз-зап.В.Д.Поленова,123357,"301011 Тульская обл., Заокский р-н, п/о Страхово",14320,258,12985,61,195,86,36
Картинная галерея г.Красноармейска,119328,"141292 Московская обл., г.Красноармейск, м-н ""Северный"", 31",6146,310,5770,14,5.1,4,1
Буйнакский музей Боевой Славы,125333,"368200 Респ.Дагестан, г.Буйнакск, ул.Хизроева, 3",450,0,0,2,3.1,7,1
Музей государственности им.П.А.Ойунского,141529,"678661 Респ.Саха(Якутия), Таттинский р-н, с.Черкех",212,6013,116,15,5.9,0,1
Опаринский краеведческий музей,134281,"613810 Кировская обл., Опаринский р-н, п.Опарино, ул.Первомайская, 3",2034,416,370,14,2.7,3,1
Технический музей,143115,"603005 г.Нижний Новгород, ул.Большая Покровская, 43",0,0,0,0,8.5,6,1
Варненский краеведческий музей,123963,"457200 Челябинская обл., Варненский р-н, с.Варна, ул.Советская, 84",4408,266,4392,30,3.4,5,1
"Музей А.С.Пушкина, Торжок",115365,"172008 Тверская обл., г.Торжок, ул.Дзержинского, 71",0,0,0,2,16.2,10,2
Евпаторийский краеведческий музей,142466,"297408 Республика Крым, г.Евпатория, ул.Кирова, 2/11",100990,14503,0,33,60.9,36,4
Зерноградский ист.-краеведческий музей,138526,"347740 Ростовская обл., г.Зерноград, пл.Мира, 22/43",7296,1942,2382,20,5.1,3,1
Охинский краеведческий музей,122265,"694490 Сахалинская обл., г.Оха, ул.Ленина, 19а",10313,3788,8867,45,13.7,12,2
Кочетовский ист.-мемориальный комплекс,127396,"668314 Респ.Тыва, Тандинский р-н, с.Кочетово, ул.Кочетова, 1",0,0,0,4,1.2,4,2
Якутский гос.музей истор. и культ.Севера,128505,"677000 г.Якутск, проспект Ленина, 5/2",73276,21520,45235,77,37.6,102,3
Якшур-Бодьинский краеведческий музей им.М.К.Шкляевой,128276,"427100 Удмуртская Респ.,с.Якшур-Бодья,ул.Пушиной,95",3264,1281,0,9,4,4,1
Холмский историко-культурный центр,122275,"694620 Сахалинская обл., г.Холмск, ул.Морская, 14",3372,3120,3000,32,21.9,17,0
Албазинский краеведческий музей,112390,"676065 Амурская обл., Сковородинский р-н, с.Албазино, ул.Школьная, 47",7155,2788,0,7,5.1,3,1
Картинная галерея Республики Адыгея,111283,"385000 г.Майкоп, ул.Краснооктябрьская, 27",1501,0,1478,19,13.6,9,1
Литературный музей им.М.Е.Кильчичакова,141730,"665710 Респ.Хакасия, Аскизский р-н, аал Анхаков",0,49,0,8,3.9,2,3
Тымовский краеведческий музей,124167,"694400 Сахалинская обл., п.Тымовское, ул.Харитонова, 14",81424,20670,4217,31,11,10,1
"Музей-заповедник ""Сталинградская битва""",137839,"400053 г.Волгоград, ул.Маршала Чуйкова, 47",94952,69210,30676,47,2359.3,254,10
Литературный музей-усадьба М.Файзи,137307,"422246 Республика Татарстан, Балтасинский р-н, д.Шуда",618,448,0,2,1.6,2,1
Музей быта и ремесел п.Висим,139571,"622970 Свердловская обл., Пригородный р-н, п.Висим, ул.Мамина-Сибиряка, 4",1356,935,0,14,6.3,7,1
"Музей ВОВ 1941-1945 годов ""Память""",128399,"355006 г.Ставрополь, ул.Шаумяна, 45/1",5326,3226,5100,31,18.6,8,1
Стерлитамакский ист-краеведческий музей,124519,"453124 Респ.Башкортостан, г.Стерлитамак, ул.К.Маркса, 100",23637,7779,0,27,39.1,13,1
Костинский историко-художественный музей,134084,"624683 Свердловская обл., Алапаевский р-н, с.Костино, ул.Школьная, 5",4140,2844,0,12,19.3,5,1
Королевский исторический музей,132356,"141080 Московская обл., г.Королев, ул.Терешковой, 1",16593,3917,0,8,25,43,4
Великоустюгский ист-архит.и худ.муз.-зап,113834,"162390 Вологодская обл., г.Великий Устюг, ул.Набережная, 64",80984,35348,86196,13,98.7,99,15
Свердловский обл.краеведческий музей,122354,"620151 г.Екатеринбург, ул.Малышева, 46",497452,234616,302880,175,255,257,9
Красногорский краеведческий музей,129870,"427650 Удмуртская Респ., с.Красногорское, ул.Ленина, 48",1517,525,0,17,2.7,3,1
Этнографический музей с.Андрюшкино,140102,"678837 Респ.Саха(Якутия), Нижнеколымский р-н, с.Андрюшкино, ул.Набережная, 12",0,0,0,0,0,0,0
Вожегодский районный краеведческий музей,138988,"162160 Вологодская обл., Вожегодский р-н, п.Вожега, ул.Садовая, 8",3569,306,2249,15,5.3,4,2
"Музей-заповедник ""Гнездово""",146607,"214019 г.Смоленск, ул.Тенишевой, 33",0,0,0,0,12.3,10,1
Крыловский исторический музей,113317,"352080 Краснодарский край,Крыловский р-н,ст-ца Крыловская,ул.Орджоникидзе,38",3020,2790,0,20,6.6,3,1
Камчатский краевой художественный музей,115897,"683003 г.Петропавловск-Камчатский, ул.Ленинградская, 100",2600,1533,2500,50,33.1,21,3
Музей-усадьба Батюшковых и А.И.Куприна,113891,"162811 Вологодская обл., Устюженский р-н, с.Даниловское, ул.Центральная, 1",0,0,0,7,5,6,1
"Музей-заповедник ""Большой Дуб""",117182,"307150 Курская обл.,Железногорский р-н,п/о Михайловское,мемориал ""Большой Дуб""",7590,4247,0,30,20.9,10,1
Музей истории села Большие Елги,149287,"422640 Республика Татарстан, Рыбно-Слободский р-н, с.Большие Елги, ул.Октябрьская, 25",1342,429,0,15,1.5,1,1
Брянский обл.худож.музейно-выст.центр,113213,"241050 г.Брянск, ул.Емлютина, 39",10206,313,7967,54,48.2,23,1
"Музей-панорама ""Бородинская битва""",118679,"121170 г.Москва, Кутузовский проспект, 38",32645,10383,43028,27,179.4,66,5
"Этнографический музей ""Торум Маа""",129813,"628007 г.Ханты-Мансийск, ул.Дунина-Горкавича, 6",3646,660,4306,39,12.7,41,11
"Лит.-мем.музей Н.Островского, Сочи",111275,"354000 Краснодарский край, г.Сочи, ул.Павла Корчагина, 4",23211,23893,810,20,46.8,33,6
Казачинско-Ленский краеведческий музей,114818,"666504 Иркутская обл., Казачинско-Ленский р-н, п.Магистральный, ул.60 лет Октября, 5",4973,778,0,16,5.9,4,1
Теплогорский филиал,142610,"618820 Пермский край, Горнозаводский р-н, п.Теплая Гора, ул.1 Мая, 11",116,135,251,14,1.9,1,1
Сафакулевский ист.-краеведческий музей,131989,"641080 Курганская обл., с.Сафакулево, ул.Ленина, 18",1544,168,0,21,5.6,1,1
Вершино-Тейский ист.-краеведческий музей,139514,"655731 Республика Хакасия, Аскизский р-н, п.Вершина Тея, ул.Советская, 20",4230,3065,0,35,2.9,3,1
Апшеронский историко-краеведческий музей,132750,"352690 Краснодарский край, г.Апшеронск, ул.Ленина, 45",3384,494,0,34,5.9,8,1
Коченевский краеведческий музей,131599,"632640 Новосибирская обл., п.Коченево, ул.М.Кузнецкая, 27а",2121,883,670,132,15.8,3,1
Красногвардейский краеведческий музей,112916,"309920 Белгородская обл., г.Бирюч, Соборная площадь, 18",5632,2069,4940,33,18.2,6,1
Гос.музей Палехского искусства,114697,"155620 Ивановская обл., п.Палех, ул.Баканова, 50",11876,3576,15452,19,43,54,8
Мытищинская районная картинная галерея,132182,"141008 Московская обл., г.Мытищи, Новомытищинский проспект, 36/7",1159,854,0,27,7,20,1
Актанышский районный краеведческий музей,137288,"423730 Республика Татарстан, Актанышский р-н, с.Актаныш, ул.Мира, 5",9297,6275,907,41,12.4,12,2
Киясовский ист.-хужожественный музей,128308,"427840 Удмуртская Респ.,с.Киясово,ул.Красная,1",628,749,0,19,4.3,2,1
Дом-музей Шауката Галиева,141162,"422349 Республика Татарстан, Апастовский р-н, с.Б.Бакрче, ул.Центральная, 42",222,94,0,11,0.9,1,1
Чердынский выставочный зал,129993,"618601 Пермский край, г.Чердынь, ул.Юргановская, 60",0,0,0,33,13.4,17,1
Тонкинский народный краеведческий музей,139001,"606970 Нижегородская обл., п.Тонкино, ул.Ленина, 3б",4330,855,0,15,5.6,8,1
Мемориальный музей Фатиха Карими,136982,"423423 Республика Татарстан, Альметьевский р-н, с.Миннибаево, ул.Бикчурина, 50",883,1107,0,29,9.1,3,1
Гос.музей гор.скульптуры,117375,"191167 г.Санкт-Петербург, Невский пр., 179/2, литер ""А""",8020,72427,8271,35,239.2,147,6
Осинский историко-краеведческий музей,133005,"669201 Иркутская обл., Усть-Ордынский Бурятский а.о., с.Оса, ул.Свердлова, 86",1069,960,0,16,2.3,3,1
Лит.-этнограф.комплекс им.С.Г.Чавайна,126425,"425134 Респ.Марий Эл, Моркинский р-н, д.Чавайнур",259,752,0,12,3.2,2,2
Музей истории Алап. металлургич.завода,132888,"624600 Свердловская обл., г.Алапаевск, ул.Ленина, 10",0,0,0,11,1.3,3,1
Ворошиловский краеведческий музей,115609,"172796 Тверская обл., Пеновский р-н, с.Ворошилово",2597,924,0,2,1.8,1,1
Крымский этнографический музей,142150,"295011 Республика Крым, г.Симферополь, ул.Пушкина, 18",8454,5252,412,27,21.7,29,7
Выставочный центр г.Протвино,131438,"142280 Московская обл., г.Протвино, ул.Ленина, 9 (секция 3)",833,437,0,6,6.6,6,1
Каргапольский исторический музей,117017,"641920 Курганская обл., Каргапольский р-н, п.Каргаполье, ул.Ленина,11",10763,5695,0,19,5.7,2,1
"Дом-музей Н.Жукова, Елец",118289,"399770 Липецкая обл., г.Елец, ул.9 Декабря, 42",0,0,0,15,2.4,3,1
Орловский военно-исторический музей,120823,"302026 г.Орел, ул.Нормандия-Неман, 1",0,0,0,5,12.5,20,1
"Гос.музей ""Нарвская застава""",117746,"198095 г.Санкт-Петербург, ул.Ивана Черных, 23, литер А",23416,11968,3550,4,8.8,36,1
Музей Уссурийского городского округа,129546,"692500 Приморский край, г.Уссурийск, ул.Краснознаменная, 80",8572,4990,3000,19,14.4,15,1
Советско-Гаванский краеведческий музей,112206,"682800 Хабаровский край, г.Советская Гавань, ул.Ленина, 11а",9841,4167,158,69,10.3,13,1
"Аллаих.муз.природы тундры,охотн.пром-ла",128702,"678800 Респ.Саха(Якутия),Аллаиховский р-н, п.Чокурдах, ул.Гагарина,16а",1846,50,0,31,7.2,5,2
Арамашевский краеведческий музей,134065,"624672 Свердловская обл., Алапаевский р-н, с.Арамашево, ул.Советская, 36",1707,1035,0,24,10,5,1
Новочеркасский музей истор.донского каз.,121614,"346400 Ростовская обл., г.Новочеркасск, ул.Дворцовая, 5а",158183,53238,115322,28,170,94,11
Привольненская картинная галерея,131328,"353712 Краснодарский край, Каневский р-н, ст-ца Привольная, ул.Мира, 66",1522,967,0,10,3.3,5,1
Завьяловский ист.-краеведческий музей,132457,"658620 Алтайский край, Завьяловский р-н, с.Завьялово, ул.Центральная, 7",6196,584,0,16,2.3,3,1
Огнинский краеведческий музей,140028,"368670 Респ.Дагестан, г.Дагестанские Огни, ул.Козленко",1959,590,0,8,7.4,6,1
Гос.культурный центр-музей В.С.Высоцкого,110319,"109240 г.Москва, Нижний Таганский тупик, 3, стр.1",29356,23143,22642,28,33.9,37,1
Карагайский краеведческий музей,129777,"617210 Пермский край,Карагайский р-н,с.Карагай,ул.Ленина,11",10735,10330,11042,47,3.9,13,1
Шаранский историко-краеведческий музей,139923,"452630 Респ.Башкортостан,Шаранский р-н,с.Шаран,ул.Пролетарская,2",2036,314,0,22,1.9,1,1
Тюменский муз.комплекс им.И.Я.Словцова,123484,"625000 г.Тюмень, ул.Советская, 63",246863,146511,393374,175,290.5,199,15
Национальный музей Республики Адыгея,111237,"385000 г.Майкоп, ул.Советская, 229",214509,104378,214509,17,20.3,89,1
Борисоглебский ист.-художественный музей,114023,"397160 Воронежская обл., г.Борисоглебск, пл.Ленина, 2",49497,23795,80,34,14,22,2
Техтюрский музей истории и этнографии наслега,128187,"678081 Респ.Саха(Якутия), Мегино-Кангаласский улус, с.Техтюр, ул.Октябрьская, 16",2824,0,0,20,2.5,2,2
Самарский обл.краев.музей им.Алабина,116705,"443041 г.Самара, ул.Ленинская, 142",165502,47851,193991,56,160,130,1
Волгодонский художественный музей,131442,"347370 Ростовская обл., г.Волгодонск, ул.Ленина, 104",4317,3657,7974,29,38.7,25,1
Очерский краеведческий музей,129743,"617140 Пермский край, г.Очер, ул.Ленина, 34",15940,11317,8702,26,16.8,25,2
Волго-Вятский филиал,117981,"603082 г.Нижний Новгород, Кремль, 6",0,0,0,23,111.5,79,1
Туембетовский музей им.З.Биишевой,138117,"453346 Респ.Башкортостан, Кугарчинский р-н, с.Туембетово, ул.Школьная, 9",498,127,0,27,2.3,4,1
Муромский историко-художественный музей,113459,"602267 Владимирская обл., г.Муром, ул.Московская, 13",68839,24523,22003,27,45,65,10
Клетнянский краеведческий музей,113251,"242820 Брянская обл., п.Клетня, ул.Ленина, 85",4517,558,0,22,11.5,4,1
Интерактивный музей ювелирного искусства,140390,"157940 Костромская обл., п.Красное-на-Волге, ул.Советская, 49б",169,49,0,0,2.7,8,1
Альметьевский краеведческий музей,131207,"423450 Респ.Татарстан, г.Альметьевск, ул.Мира, 1",3579,3988,0,38,33.5,20,1
Чебаркульский краеведческий музей,123959,"456440 Челябинская обл., г.Чебаркуль, ул.9 Мая, 18-а",5691,1079,5580,8,4.5,6,1
Семеновский ист.-художественный музей,114235,"606650 Нижегородская обл., г.Семенов, ул.Ванеева, 5а",19885,6521,871,65,81.7,36,5
Липецкий обл. краеведческий музей,118306,"398020 г.Липецк, ул.Ленина, 25",138634,158127,29740,56,86.2,51,1
Билибинский краеведческий музей,118522,"689450 Чукотский а.о., г.Билибино, ул.Комсомольская, 3",10855,4450,6662,35,11.1,18,1
Зеленодольский музей ист.-культ.наследия,139266,"422540 Респ.Татарстан, г.Зеленодольск, ул.Первомайская, 20",9192,5717,3918,19,6.1,19,1
Музей истории города Иркутска,116895,"664007 г.Иркутск, ул.Ф.Каменецкого, 16а",52733,50446,34977,80,60.4,114,8
Юдиновский ист.-археологический музей,113112,"243553 Брянская обл., Погарский р-н, с.Юдиново",10525,643,0,13,15.2,10,3
Елизовский районный краеведческий музей,115952,"684500 Камчатский край, г.Елизово, ул.В.Кручины, 13",25941,4310,25941,19,3.7,11,1
"Выставочный зал ""Колорит"" г.Чебаркуль",134949,"456440 Челябинская обл., г.Чебаркуль, ул.Ленина, 13",0,0,0,18,12.6,7,1
"Гос.музей-заповедник ""Ленино-Кокушкино""",133274,"422780 Республика Татарстан, Пестречинский р-н, с.Ленино-Кокушкино, ул.Центральная, 30",677,76,677,7,7.6,11,5
Вяземский историко-краеведческий музей,122710,"215110 Смоленская обл., г.Вязьма, Советская площадь, 3",13963,3898,2300,17,12.4,9,2
Военно-технический музей с.Ивановское,140278,"142432 Московская обл., Ногинский р-н, с.Ивановское, стр.1",208,13,221,9,32,27,8
Музей Е.Баратынского,127235,"420015 г.Казань, ул.Горького, 25/28",4330,1760,0,9,19.7,14,2
Гос.Русский музей,117356,"191186 г.Санкт-Петербург, ул.Инженерная, 4/2",413683,21374,404000,110,1702.8,1612,23
"Музей-усадьба И.Е.Репина ""Пенаты""",142983,"197738 г.Санкт-Петербург, п.Репино, Приморское шоссе, 411",1962,471,0,5,26.7,22,1
Советский краеведческий музей п.Кшенский,133842,"306600 Курская обл., Советский р-н, п.Кшенский, ул.Занина, 5",2907,2641,0,20,5.3,4,1
Черкесская картинная галерея,127038,"369000 г.Черкесск, ул.Первомайская, 26-28",1393,238,0,11,7,6,1
Каневский историко-краеведческий музей,130312,"353730 Краснодарский край, ст.Каневская, ул.Коммунаров, 45",22393,7986,0,26,8.8,12,1
Большеболдинский ист.-худож.муз.комплекс,142818,"607940 Нижегородская обл., с.Большое Болдино, ул.Восточная, 2а",878,2170,0,22,5.7,9,3
Феодосийская картинная галерея им.И.К.Айвазовского,142447,"298100 Республика Крым, г.Феодосия, ул.Галерейная, 2",9892,4154,0,44,199,44,8
Мемориальный комплекс политических репрессий,142004,"614990 г.Пермь, бульвар Гагарина, 10, офис 121",477,324,576,19,7,37,24
Белорецкая картинная галерея,125009,"453500 Респ.Башкортостан, г.Белорецк, ул.Ленина, 67",882,0,0,25,6.2,8,1
Алексинский худож.-краеведческий музей,123361,"301360 Тульская обл., г.Алексин, ул.Советская, 38",19671,3789,2313,82,10.1,18,1
Литературно-мемор.музей Ф.Достоевского,117553,"191002 г.Санкт-Петербург, Кузнечный пер., 5/2",22403,16417,38820,19,64.5,55,3
Краеведческий музей Купинского района,110569,"632735 Новосибирская обл., г.Купино, ул.Преображенская, 58",2448,1248,420,25,13.1,9,1
Ржаксинский ист.-краеведческий музей,136840,"393520 Тамбовская обл., п.Ржакса, ЦМР, РДК, музей",650,1303,0,17,3.8,2,1
Симский историко-краеведческий музей,129565,"456020 Челябинская обл., г.Сим, ул.Пушкина, 8",704,0,0,6,0.7000000000000001,3,1
Октябрьский музейно-выставочный центр,129194,"628100 Ханты-Мансийский а.о., п.Октябрьское, ул.Советская,23",7709,1540,8072,69,10.3,9,1
Южноуральский городской краеведческий музей,123874,"457040 Челябинская обл., г.Южно-Уральск, ул.Куйбышева, 11",6453,2464,885,27,5.8,4,1
Кэнтикский ист.-этнографический музей,128948,"678237 Респ.Саха(Якутия), Верхневилюйский улус, с.Кэнтик",557,327,0,11,2.9,1,0
Приморско-Ахтарский ист.-краеведч.музей,132776,"353860 Краснодарский край, г.Приморско-Ахтарск, ул.Ленина, 91",5168,830,0,64,8.5,9,1
Музей Тверского быта,115469,"170026 г.Тверь, ул.Горького, 19/4",0,0,0,1,42.8,23,6
"Гос.ист.-археолог.музей-зап.""Фанагория""",141675,"353540 Краснодарский край, Темрюкский р-н, п.Сенной, ул.Ленина, 7, кв.2",1963,12,1975,1,2.3,9,1
Кировский гор.научно-естественный музей,143312,"610007 г.Киров, ул.Ленина, 179",1687,0,0,10,10.8,13,3
Брединский историко-краеведческий музей,131777,"457310 Челябинская обл., Брединский р-н, п.Бреды, ул.Гербанова, 15",5870,827,1102,46,6.1,6,2
Сахалинский обл.художественный музей,122284,"693020 г.Южно-Сахалинск, ул.Ленина, 137",11394,3060,13896,60,38.2,58,2
Самарский лит.-мем. музей им.М.Горького,116758,"443010 г.Самара, ул.Фрунзе, 155",42049,21804,6477,36,54.4,34,5
"Этнографич.комплекс ""Дагестанский аул""",140564,"367000 г.Махачкала, пр.Гамзатова, 12б",912,0,184,15,5.5,34,2
"Литературно-музык.музей ""Дача Шаляпина""",111947,"357700 Ставропольский край, г.Кисловодск, ул.Шаляпина, 1",9463,12291,4748,27,35.1,30,2
Краев.музей Аяно-Майского МР с.Нелькан,134347,"682573 Хабаровский край, Аяно-Майский р-н, с.Нелькан, ул.Советская, 11",2041,1356,0,9,0.7000000000000001,9,1
"ИТМК ""Музей обороны и тыла""",146113,"391121 Рязанская обл., Рыбновский р-н, д.Баграмово",2184,485,0,18,6.6,9,1
Мариинский краеведческий музей,116052,"652150 Кемеровская обл., г.Мариинск, ул.Рабочая, 15",10646,14440,0,12,18.8,13,2
"Музей ""Тульский Кремль""",123198,"300001 г.Тула, ул.Менделеевская, 2, Кремль",1168,1930,3027,6,139,23,6
"Историко-культурный центр ""Пыщуганье""",116673,"157630 Костромская обл., с.Пыщуг, ул.Фокина, 24",2989,487,25,70,3.3,5,1
Ковдорский районный краеведческий музей,119879,"184141 Мурманская обл., г.Ковдор, ул.Коновалова, 3",3878,2766,0,28,12.8,9,1
Музей декабристов в Минусинске,117074,"662608 Красноярский край, г.Минусинск, ул.Обороны, 59а",0,0,0,7,12.6,3,2
"Музей ""Анна Ахматова. Серебряный век""",117801,"198152 г.Санкт-Петербург, ул.Автовская, 14",22445,20781,9281,32,20.5,23,1
Газимуро-Заводский краеведческий музей,124038,"673630 Забайкальский край, с.Газимуровский Завод, ул.Журавлева, 17",1512,922,0,5,1.8,9,1
Тесинский художественный музей,140403,"662637 Красноярский край, Минусинский р-н, с.Тесь, ул.Ленина, 2",663,238,65,43,6.9,6,1
Краеведческий музей Новошешминского муниципального района,142095,"423190 Респ.Татарстан, с.Новошешминск, ул.Заливная, 4",326,317,0,12,3.5,5,1
Киквидзенский краеведческий музей,119991,"403221 Волгоградская обл.,Киквидзенский р-н,ст-ца Преображенская,ул.Мира,70в",4709,719,1200,18,4.9,2,1
Ист.-краеведческий музей им.Д.С.Ракшина,138140,"452500 Респ.Башкортостан, Кигинский р-н, с.Верхние Киги, ул.Советская, 14",811,31,0,14,8.7,1,1
Наро-Фоминский ист.-краеведческий музей,119597,"143300 Московская обл., г.Наро-Фоминск, ул.Жукова, 8",16650,7390,0,16,39.7,17,1
Моргаушский музей верховых чувашей,134781,"429530 Чувашская Республика, Моргаушский р-н, с.Моргауши, ул.Чапаева, 39",4578,2474,4891,35,9.9,5,3
Солнечный межпос.краев.культ.-этн.центр,131570,"682711 Хабаровский край, Солнечный р-н, п.Солнечный, ул.Строителей, 9",4000,1671,0,32,2.3,6,3
Музей-квартира Аллилуевых,118255,"193144 г.Санкт-Петербург, ул.10-я Советская, 17, кв.20",0,0,0,1,3.8,2,1
Новокузнецкий лит.музей Ф.Достоевского,116122,"654034 Кемеровская обл., г.Новокузнецк, ул.Достоевского, 29",7341,3469,1423,24,24.5,21,3
Хвойнинский краеведческий музей,120017,"174580 Новгородская обл., п.Хвойная, ул.Мира, 1-а",585,617,0,28,5,4,1
Аскизский краеведч. музей им.Н.Катанова,127752,"655700 Респ.Хакасия, с.Аскиз, ул.Советская, 19",4297,4360,1150,21,3.6,10,1
Советский краеведческий музей,117914,"659540 Алтайский край, с.Советское, ул.Октябрьская, 2",8037,15774,0,32,1.5,3,1
Рязанский обл.худож.музей им.Пожалостина,121879,"390000 г.Рязань, ул.Свободы, 57",12112,729,5920,81,65.2,95,8
"Музей-усадьба ""Демидовская дача""",141321,"622001 Свердловская обл., г.Нижний Тагил, ул.Красногвардейская, 5а",0,0,0,5,12,8,3
Московский гос. зоологический парк,144584,"123242 г.Москва, ул.Б.Грузинская, 1",3729,781,1010,32,2867.7,704,135
Михайловский гор. выставочный зал,131847,"403342 Волгоградская обл., г.Михайловка, ул.Республиканская, 26а",11578,0,0,35,10.8,8,1
Музей кружева,140304,"160000 г.Вологда, Кремлевская пл., 12",0,0,0,10,38.4,25,1
Нижнетагильский музей изоискусств,122477,"622001 Свердловская обл., г.Нижний Тагил, ул.Уральская, 7",9023,900,9023,56,53.9,46,4
Нефтекамская картинная галерея,125047,"452689 Респ.Башкортостан, г.Нефтекамск, ул.Строителей, 89",0,0,0,20,8.6,8,1
Уэленский музей косторезного иск-ва,118397,"689310 Чукотский а.о., Чукотский р-н, с.Уэлен, ул.Ленина, 21",1204,109,0,13,1.9,2,1
"Ист-арх.муз-зап""Александровская Слобода""",113389,"601652 Владимирская обл.,г.Александров,Музейный пр.,20",46578,19922,66500,33,124,100,17
Невьянский историко-архитектурный музей,122462,"624192 Свердловская обл., г.Невьянск, пл.Революции, 2",48839,19447,66700,32,90.5,74,25
"Дом-музей ""Этно-кудо"" им.В.И.Ромашкина",138634,"431580 Респ.Мордовия, Кочкуровский р-н, с.Подлесная Тавла, ул.Московская, 56",875,250,0,10,4.2,2,0
"Гос.музей-заповедник ""Царское Село""",117464,"196601 г.Санкт-Петербург, Пушкин, ул.Садовая, 7",42638,5438,48076,30,3694,762,80
Мемор.дом-музей усадьба Н.Е.Жуковского д.Орехово,113425,"601231 Владимирская обл., Собинский р-н, п/о Глухово, с.Орехово, ул.Музейная, 2",7927,2010,3008,11,11.7,8,2
Саргатский историко-краеведческий музей,135373,"646400 Омская обл., п.Саргатское, ул.Октябрьская, 30",2653,3809,2002,50,6.4,4,1
Музей истории Петровского района,135532,"393070 Тамбовская обл., с.Петровское, ул.Интернациональная, 24б",6148,1853,0,28,3,3,2
Гос.музей политической истории России,110272,"197046 г.Санкт-Петербург, ул.Куйбышева, 2-4",279179,202392,354881,50,93.8,190,7
"Муз.-зап.""Прорыв блокады Лен-да"",Кировск",118010,"187342 Ленинградская обл., г.Кировск, ул.Пионерская, 1",10867,1057,9386,15,49.1,21,3
Ялуторовский музейный комплекс,123499,"627010 Тюменская обл., г.Ялуторовск, ул.Революции, 75",26597,9504,35912,50,41.1,44,5
Андроповский краеведч.музей с.Курсавка,112174,"357070 Ставропольский край, Андроповский р-н, с.Курсавка, ул.Красная, 2",6084,430,4555,29,9.7,9,2
Вологодская обл.картинная галерея,113938,"160035 г.Вологда, Кремлевская пл., 10",35165,1627,33155,79,81,77,7
"Музей ""Усадьба князей Голицыных""",135706,"618460 Пермский край, г.Усолье, ул.Спасская, 14",355,0,0,0,6.7,9,2
Красносельск.муз.ювелирн.нар-прикл.иск-в,116550,"157940 Костромская обл., п.Красное-на-Волге, ул.Советская, 49а",3957,482,1046,15,7.2,20,1
Всерос.худ.н/рестав.центр им.И.Э.Грабаря,110088,"105005 г.Москва, ул.Радио, 17, корпус 6",0,0,0,0,0,239,2
Гос.Бородин.военно- истор.музей-заповед.,119718,"143240 Московская обл., Можайский р-н, д.Бородино",35337,20631,26712,10,267.5,204,83
Старощербиновский краеведческий музей,130492,"353620 Краснодарский край, ст-ца Старощербиновская, ул.Первомайская, 97",2749,1535,0,16,3.4,6,1
"Музей-заповедник ""Томская Писаница""",115990,"650099 г.Кемерово-99, ул.Томская, 5-а",12849,9711,1858,165,134.7,93,35
