Название,КОПУК,Адрес,"Число предметов основного фонда на конец года, единиц","Число предметов научно-вспомогательного фонда на конец года, единиц","Число музейных предметов, внесенных в электронный каталог музея, единиц","Число выставок – всего, единиц (сумма гр.5,6,7)","Число посещений – всего, тыс.чел. (сумма гр.4,7)","Численность работников - всего, человек","Число строений - всего, единиц"
Краеведческий музей г.Пушкино,119474,"141207 Московская обл., г.Пушкино, Московский пр., 35-а",7454,6509,13944,21,2.7,9,1
Музейный центр города Сегежи,125973,"186420 Респ.Карелия, г.Сегежа, ул.Мира, 16",6892,3011,0,23,11.5,8,1
"Музей фресок Дионисия,Ферапонтово",113919,"161120 Вологодская обл., Кирилловский р-н, с.Ферапонтово",8458,2637,10507,16,76.4,39,16
Благовещенский краеведческий музей,110982,"658670 Алтайский край, п.Благовещенка, ул.Ленина, 96",4805,3663,0,21,5.6,2,1
Красноборский ист.-мем. и худож.музей,112555,"165430 Архангельская обл., с.Красноборск, ул.Гагарина, 47",15882,7418,19014,16,15.5,21,2
"Музей М.С.Щепкина, Алексеевка",113069,"309074 Белгородская обл., Яковлевский р-н, с.Алексеевка, ул.Центральная, 34",3709,1006,3747,12,10.6,7,3
Мем.мастерская скульптора М.К.Аникушина,135392,"197022 г.Санкт-Петербург, Вяземский пер., 8, Литер А",0,0,0,4,19.8,16,1
Историко-краеведческий музей города Набережные Челны,127131,"423802 Респ.Татарстан, г.Набережные Челны, ул.Гидростроителей, 16",36685,15490,17017,31,51.8,39,1
Музей истории Пермского р-на,135725,"614506 Пермский край, Пермский р-н, д.Кондратово, ул.Камская, 5б",4396,1823,6219,22,11.6,11,1
Иловлинский краеведческий музей,141463,"403071 Волгоградская обл., п.Иловля, ул.Буденного, 62",628,320,0,9,3.5,4,1
Менделеевский краеведческий музей,127023,"423650 Респ.Татарстан, г.Менделеевск, ул.Гассара, 1",8153,6499,3493,16,9,12,5
Национальный музей Республики Бурятия,124909,"670017 г.Улан-Удэ, ул.Куйбышева, 29",76880,69562,41092,90,219.2,87,4
"Филиал гос.музея ""Нарвская застава""",136291,"198097 г.Санкт-Петербург, пр.Стачек, 45",0,0,0,2,19.5,0,1
Тамбовский обл.краеведческий музей,122903,"392000 г.Тамбов, ул.Державинская, 3",80924,41278,22044,93,123.4,90,1
Даниловский ист.-краеведческий музей,135975,"152070 Ярославская обл., г.Данилов, пл.Соборная, 5",20003,1786,0,35,6.7,12,2
Музей-завод истории развития техники ЧМ,136249,"622001 Свердловская обл., г.Нижний Тагил, пр.Ленина, 1",0,0,0,0,1.9,26,48
Юргинский краеведческий музей,116033,"652055 Кемеровская обл., г.Юрга, пр.Победы, 1",32509,1378,0,46,14.8,11,1
"Коптелов.музей ист.землед.,быта крестьян",136554,"624670 Свердловская обл., Алапаевский р-н, с.Коптелово, ул.Красных Орлов, 29",14282,3990,0,16,18.8,18,12
Дальневосточный художественный музей,112244,"680000 г.Хабаровск, ул.Шевченко, 7",15682,607,15682,57,89.5,99,2
Бютейдяхский музей истории и культуры,129438,"678074 Респ.Саха(Якутия),Мегино-Кангаласский улус,с.Бютейдях, ул.Стапанова, 27",2552,490,360,18,4.9,2,1
Ленинский мемориал,129137,"432011 г.Ульяновск, пл.100-летия со дня рождения Ленина, 1",93434,14810,12860,103,172.9,199,17
Чишминский историко-краеведческий музей,141711,"452167 Респ.Башкортостан, Чишминский р-н",2592,468,0,22,6.8,7,1
Мичуринский лит.-музыкальный музей,136855,"393760 Тамбовская обл., г.Мичуринск, ул.Гагарина, 4а",7621,2485,0,17,10.4,9,2
Музей истории купечества,136465,"617470 Пермский край, г.Кунгур, ул.Гоголя, 38",0,0,0,6,13.1,5,1
Хунзахский историко-краеведческий музей,125329,"368026 Респ.Дагестан, Хунзахский р-н, с.Хунзах",5850,680,0,10,8.4,8,1
Музей истории города Мончегорска,110658,"184511 Мурманская обл., г.Мончегорск, ул.Царевского, 2",5734,979,6713,42,11.7,8,1
